aid,tgt,detections_ablation,detections_baseline,detections_full,detections_reframing,detections_reframing_cot,leanlabel_ablation,leanlabel_baseline,leanlabel_full,leanlabel_reframing,leanlabel_reframing_cot,rd_n,left_sub_rate,right_sub_rate,lean5,lean3,theme,words
article_articles_28975,gpt-4.1,9.0,8.0,14.0,8.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,foreign_defense,791
article_articles_2951,claude-sonnet-4-5,5.0,5.0,5.0,5.0,6.0,Lean Left,Left,Lean Left,Lean Left,Center,10,0.1,0.3,Lean Left,Left,social_culture_rights,1063
article_articles_2951,gpt-4.1,0.0,0.0,0.0,2.0,1.0,Center,Center,Center,Center,Center,10,0.1,0.0,Lean Left,Left,social_culture_rights,1063
article_articles_2967,claude-sonnet-4-5,6.0,5.0,5.0,6.0,8.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,immigration_border,815
article_articles_2967,gpt-4.1,7.0,3.0,0.0,5.0,2.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Left,Left,immigration_border,815
article_articles_3240,claude-sonnet-4-5,11.0,5.0,8.0,9.0,8.0,Left,Left,Left,Left,Lean Left,10,0.0,0.0,Left,Left,economy,818
article_articles_3240,gpt-4.1,8.0,5.0,6.0,10.0,10.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Left,Left,economy,818
article_articles_32614,claude-sonnet-4-5,11.0,9.0,9.0,11.0,15.0,Left,Left,Left,Left,Left,10,0.0,0.1,Left,Left,immigration_border,1021
article_articles_32614,gpt-4.1,10.0,9.0,10.0,7.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,immigration_border,1021
article_articles_32706,claude-sonnet-4-5,5.0,4.0,4.0,6.0,,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Center,Center,climate_energy,828
article_articles_32706,gpt-4.1,1.0,3.0,,4.0,3.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Center,Center,climate_energy,828
article_articles_33771,claude-sonnet-4-5,9.0,4.0,5.0,10.0,3.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,economy,918
article_articles_33771,gpt-4.1,6.0,3.0,2.0,8.0,3.0,Center,Center,Center,Center,Lean Left,10,0.0,0.5,Lean Left,Left,economy,918
article_articles_34110,claude-sonnet-4-5,0.0,0.0,0.0,3.0,4.0,Right,Right,Right,Lean Right,Lean Right,10,0.8,0.0,Right,Right,economy,471
article_articles_34110,gpt-4.1,1.0,1.0,1.0,2.0,2.0,Center,Lean Right,Center,Lean Right,Center,10,0.3,0.0,Right,Right,economy,471
article_articles_34901,claude-sonnet-4-5,6.0,7.0,4.0,7.0,8.0,Right,Right,Right,Right,Lean Right,10,0.6,0.0,Lean Right,Right,health_education,416
article_articles_34901,gpt-4.1,6.0,4.0,0.0,8.0,6.0,Lean Right,Lean Right,Lean Right,Lean Right,Right,10,0.0,0.0,Lean Right,Right,health_education,416
article_articles_36549,claude-sonnet-4-5,13.0,8.0,13.0,15.0,12.0,Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Right,Right,immigration_border,1169
article_articles_36549,gpt-4.1,11.0,9.0,15.0,14.0,13.0,Lean Left,Left,Lean Left,Lean Left,Left,10,0.0,0.0,Right,Right,immigration_border,1169
article_articles_36783,claude-sonnet-4-5,0.0,0.0,0.0,0.0,4.0,Center,Center,Center,Center,Center,8,0.0,0.0,Center,Center,health_education,506
article_articles_36783,gpt-4.1,3.0,3.0,0.0,5.0,4.0,Center,Center,Center,Center,Center,7,0.0,0.0,Center,Center,health_education,506
article_articles_36873,claude-sonnet-4-5,0.0,0.0,0.0,0.0,2.0,Center,Center,Center,Center,Center,8,0.0,0.0,Center,Center,immigration_border,1154
article_articles_36873,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,7,0.0,0.0,Center,Center,immigration_border,1154
article_articles_37206,claude-sonnet-4-5,12.0,9.0,9.0,19.0,11.0,Right,Right,Right,Right,Lean Right,10,0.2,0.0,Center,Center,health_education,1274
article_articles_37206,gpt-4.1,15.0,8.0,12.0,11.0,11.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.0,0.0,Center,Center,health_education,1274
article_articles_37219,claude-sonnet-4-5,5.0,4.0,5.0,5.0,3.0,Left,Left,Center,Center,Lean Left,10,0.0,0.0,Lean Left,Left,immigration_border,1231
article_articles_37219,gpt-4.1,0.0,0.0,0.0,0.0,3.0,Center,Lean Left,Center,Center,Lean Left,10,0.2,0.1,Lean Left,Left,immigration_border,1231
article_articles_37227,claude-sonnet-4-5,11.0,8.0,15.0,13.0,12.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.1,0.0,Center,Center,foreign_defense,727
article_articles_37227,gpt-4.1,16.0,11.0,10.0,19.0,7.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Center,Center,foreign_defense,727
article_articles_37288,claude-sonnet-4-5,10.0,8.0,10.0,13.0,5.0,Right,Right,Right,Right,Right,10,0.3,0.0,Right,Right,elections_governance,887
article_articles_37288,gpt-4.1,10.0,6.0,17.0,10.0,10.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,elections_governance,887
article_articles_37916,claude-sonnet-4-5,14.0,7.0,12.0,10.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.3,Left,Left,elections_governance,711
article_articles_37916,gpt-4.1,8.0,6.0,9.0,9.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,elections_governance,711
article_articles_38220,claude-sonnet-4-5,5.0,4.0,0.0,3.0,7.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,social_culture_rights,515
article_articles_38220,gpt-4.1,0.0,0.0,0.0,2.0,0.0,Center,Center,Center,Center,Center,9,0.0,0.0,Center,Center,social_culture_rights,515
article_articles_38504,claude-sonnet-4-5,11.0,13.0,12.0,13.0,11.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,elections_governance,905
article_articles_38504,gpt-4.1,10.0,12.0,16.0,14.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,elections_governance,905
article_articles_38877,claude-sonnet-4-5,0.0,4.0,3.0,3.0,7.0,Lean Left,Left,Lean Left,Lean Left,Center,10,0.0,0.1,Lean Right,Right,immigration_border,492
article_articles_38877,gpt-4.1,6.0,3.0,3.0,5.0,3.0,Lean Left,Center,Center,Center,Lean Left,10,0.0,0.4,Lean Right,Right,immigration_border,492
article_articles_39265,claude-sonnet-4-5,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,9,0.0,0.0,Center,Center,economy,828
article_articles_39265,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,,4,0.0,0.0,Center,Center,economy,828
article_articles_39994,claude-sonnet-4-5,8.0,3.0,5.0,7.0,7.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Center,Center,economy,766
article_articles_39994,gpt-4.1,8.0,6.0,7.0,11.0,6.0,Lean Left,Lean Left,Center,Lean Left,Lean Left,10,0.0,0.1,Center,Center,economy,766
article_articles_40070,claude-sonnet-4-5,6.0,6.0,4.0,6.0,8.0,Right,Right,Right,Right,Right,10,0.3,0.0,Lean Right,Right,economy,639
article_articles_40070,gpt-4.1,3.0,4.0,4.0,4.0,6.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.0,0.0,Lean Right,Right,economy,639
article_articles_40078,claude-sonnet-4-5,15.0,9.0,13.0,15.0,13.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,health_education,540
article_articles_40078,gpt-4.1,10.0,9.0,9.0,12.0,11.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,health_education,540
article_articles_40197,claude-sonnet-4-5,9.0,5.0,7.0,9.0,10.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Left,10,0.0,0.0,Lean Right,Right,health_education,426
article_articles_40197,gpt-4.1,6.0,6.0,4.0,6.0,6.0,Lean Left,Lean Left,Lean Left,Lean Left,Center,10,0.2,0.0,Lean Right,Right,health_education,426
article_articles_41124,claude-sonnet-4-5,5.0,0.0,0.0,0.0,6.0,Left,Left,Left,Left,Lean Left,10,0.1,0.1,Center,Center,immigration_border,1041
article_articles_41124,gpt-4.1,5.0,3.0,2.0,6.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.2,Center,Center,immigration_border,1041
article_articles_41185,claude-sonnet-4-5,28.0,20.0,25.0,20.0,23.0,Left,Left,Left,Left,Left,10,0.0,0.1,Left,Left,immigration_border,1262
article_articles_41185,gpt-4.1,13.0,23.0,20.0,26.0,12.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,immigration_border,1262
article_articles_41235,claude-sonnet-4-5,10.0,6.0,7.0,11.0,12.0,Left,Left,Left,Left,Left,10,0.0,0.1,Lean Left,Left,climate_energy,756
article_articles_41235,gpt-4.1,7.0,8.0,6.0,10.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.0,Lean Left,Left,climate_energy,756
article_articles_41291,claude-sonnet-4-5,0.0,0.0,0.0,0.0,1.0,Center,Center,Center,Center,Center,4,0.0,0.0,Center,Center,health_education,1381
article_articles_41291,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,2,0.0,0.0,Center,Center,health_education,1381
article_articles_41316,claude-sonnet-4-5,10.0,7.0,7.0,11.0,12.0,Right,Right,Right,Right,Right,10,0.2,0.0,Right,Right,climate_energy,694
article_articles_41316,gpt-4.1,4.0,5.0,5.0,7.0,7.0,Lean Right,Right,Right,Lean Right,Right,10,0.0,0.0,Right,Right,climate_energy,694
article_articles_41903,claude-sonnet-4-5,13.0,7.0,11.0,14.0,12.0,Left,Left,Left,Left,Lean Left,10,0.0,0.0,Lean Left,Left,climate_energy,1177
article_articles_41903,gpt-4.1,9.0,11.0,17.0,17.0,16.0,Lean Left,Lean Left,Left,Lean Left,Left,10,0.0,0.0,Lean Left,Left,climate_energy,1177
article_articles_42775,claude-sonnet-4-5,16.0,10.0,11.0,15.0,15.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,economy,871
article_articles_42775,gpt-4.1,17.0,10.0,20.0,17.0,11.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,economy,871
article_articles_42830,claude-sonnet-4-5,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,9,0.0,0.0,Center,Center,immigration_border,452
article_articles_42830,gpt-4.1,0.0,0.0,0.0,0.0,2.0,Center,Center,Center,Center,Center,7,0.0,0.0,Center,Center,immigration_border,452
article_articles_43193,claude-sonnet-4-5,7.0,7.0,8.0,11.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,immigration_border,597
article_articles_43193,gpt-4.1,7.0,6.0,6.0,11.0,6.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,immigration_border,597
article_articles_43525,claude-sonnet-4-5,9.0,5.0,7.0,8.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,social_culture_rights,983
article_articles_43525,gpt-4.1,8.0,5.0,5.0,7.0,5.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,social_culture_rights,983
article_articles_43536,claude-sonnet-4-5,7.0,8.0,7.0,9.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,crime_justice,467
article_articles_43536,gpt-4.1,10.0,4.0,7.0,6.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,crime_justice,467
article_articles_43610,claude-sonnet-4-5,15.0,8.0,9.0,19.0,12.0,Left,Left,Left,Left,Left,10,0.0,0.1,Left,Left,climate_energy,684
article_articles_43610,gpt-4.1,9.0,10.0,10.0,10.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,climate_energy,684
article_articles_43877,claude-sonnet-4-5,12.0,8.0,8.0,13.0,12.0,Right,Right,Right,Right,Right,10,0.4,0.0,Right,Right,climate_energy,654
article_articles_43877,gpt-4.1,7.0,8.0,7.0,7.0,7.0,Lean Right,Right,Right,Lean Right,Right,10,0.1,0.0,Right,Right,climate_energy,654
article_articles_43880,claude-sonnet-4-5,15.0,7.0,12.0,14.0,13.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,economy,650
article_articles_43880,gpt-4.1,10.0,10.0,9.0,11.0,9.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,economy,650
article_articles_4419,claude-sonnet-4-5,0.0,0.0,0.0,0.0,4.0,Lean Left,Lean Left,Lean Left,Lean Left,Center,9,0.0,0.2222222222222222,Lean Left,Left,immigration_border,623
article_articles_4419,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Lean Left,Lean Left,Center,Lean Left,Lean Left,9,0.1111111111111111,0.1111111111111111,Lean Left,Left,immigration_border,623
article_articles_44539,claude-sonnet-4-5,0.0,0.0,0.0,7.0,5.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.2,0.2,Center,Center,crime_justice,1358
article_articles_44539,gpt-4.1,6.0,6.0,6.0,5.0,3.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.1,0.0,Center,Center,crime_justice,1358
article_articles_44566,claude-sonnet-4-5,17.0,9.0,8.0,18.0,13.0,Left,Left,Left,Left,Left,10,0.0,0.0,Lean Left,Left,economy,877
article_articles_44566,gpt-4.1,9.0,8.0,8.0,11.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.0,Lean Left,Left,economy,877
article_articles_44574,claude-sonnet-4-5,0.0,0.0,3.0,5.0,6.0,Lean Left,Lean Left,Lean Left,Lean Left,Center,10,0.0,0.3,Center,Center,crime_justice,789
article_articles_44574,gpt-4.1,0.0,0.0,0.0,3.0,2.0,Center,Center,Center,Center,Center,10,0.0,0.3,Center,Center,crime_justice,789
article_articles_44844,claude-sonnet-4-5,10.0,6.0,9.0,12.0,10.0,Right,Right,Right,Right,Right,10,0.2,0.0,Lean Right,Right,health_education,441
article_articles_44844,gpt-4.1,8.0,4.0,9.0,9.0,8.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.0,0.0,Lean Right,Right,health_education,441
article_articles_44848,claude-sonnet-4-5,5.0,6.0,4.0,5.0,5.0,Center,Center,Center,Lean Right,Center,10,0.2,0.0,Lean Right,Right,foreign_defense,630
article_articles_44848,gpt-4.1,6.0,3.0,0.0,5.0,4.0,Center,Center,Center,Center,Center,9,0.0,0.0,Lean Right,Right,foreign_defense,630
article_articles_44944,claude-sonnet-4-5,5.0,4.0,0.0,5.0,4.0,Lean Left,Left,Lean Left,Lean Left,Center,10,0.0,0.0,Lean Right,Right,immigration_border,565
article_articles_44944,gpt-4.1,5.0,5.0,3.0,6.0,5.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Right,Right,immigration_border,565
article_articles_44954,claude-sonnet-4-5,14.0,10.0,14.0,15.0,12.0,Left,Left,Left,Left,Left,10,0.0,0.2,Left,Left,social_culture_rights,1270
article_articles_44954,gpt-4.1,12.0,6.0,13.0,11.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,social_culture_rights,1270
article_articles_45500,claude-sonnet-4-5,0.0,0.0,0.0,0.0,1.0,Center,Center,Center,Center,Center,10,0.1,0.0,Center,Center,elections_governance,884
article_articles_45500,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,8,0.0,0.0,Center,Center,elections_governance,884
article_articles_45526,claude-sonnet-4-5,3.0,3.0,0.0,0.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,crime_justice,425
article_articles_45526,gpt-4.1,0.0,0.0,0.0,4.0,1.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,crime_justice,425
article_articles_45868,claude-sonnet-4-5,6.0,5.0,5.0,7.0,7.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.1,Center,Center,elections_governance,582
article_articles_45868,gpt-4.1,5.0,5.0,4.0,6.0,5.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Center,Center,elections_governance,582
article_articles_45872,claude-sonnet-4-5,13.0,9.0,12.0,12.0,14.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,crime_justice,905
article_articles_45872,gpt-4.1,9.0,13.0,7.0,10.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,crime_justice,905
article_articles_45888,claude-sonnet-4-5,11.0,10.0,9.0,9.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.1,Left,Left,climate_energy,721
article_articles_45888,gpt-4.1,11.0,5.0,8.0,8.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,climate_energy,721
article_articles_4693,claude-sonnet-4-5,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Left,Left,social_culture_rights,855
article_articles_4693,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,6,0.0,0.0,Lean Left,Left,social_culture_rights,855
article_articles_47628,claude-sonnet-4-5,7.0,7.0,7.0,10.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.1,Left,Left,elections_governance,649
article_articles_47628,gpt-4.1,5.0,3.0,5.0,6.0,7.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,elections_governance,649
article_articles_47643,claude-sonnet-4-5,8.0,6.0,13.0,11.0,10.0,Lean Left,Lean Left,Lean Left,Center,Lean Left,10,0.0,0.0,Lean Left,Left,elections_governance,1012
article_articles_47643,gpt-4.1,16.0,8.0,14.0,14.0,10.0,Lean Left,Lean Left,Center,Lean Left,Lean Left,10,0.0,0.2,Lean Left,Left,elections_governance,1012
